no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_month,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_status
2,0,0,2,1,0,2,188,7,1,0,0,0,86.75,1,1
2,0,1,2,0,0,1,42,3,0,0,0,0,62.8,0,0
3,0,2,1,2,0,1,220,9,0,0,0,0,213.0,1,1
2,0,2,2,1,0,1,91,10,1,0,0,0,118.8,1,1
2,0,2,6,2,0,1,34,12,1,0,0,0,120.7,2,0
1,0,0,4,2,0,1,43,11,1,0,0,0,124.1,3,0
2,1,1,1,1,0,1,101,8,1,0,0,0,134.1,1,0
2,0,1,2,1,0,4,133,8,0,0,0,0,82.45,0,1
2,0,0,3,1,0,1,150,6,0,0,0,0,96.0,0,1
2,0,2,6,1,0,1,195,7,1,0,0,0,66.53,1,0
1,0,0,2,2,0,1,377,10,0,0,0,0,90.0,0,0
2,0,2,5,1,0,1,107,7,1,0,0,0,109.16,1,0
1,0,1,1,0,0,1,17,3,1,0,0,0,97.0,0,1
2,0,0,3,1,0,1,28,10,1,0,0,0,129.0,0,0
1,0,0,1,1,0,1,5,8,4,0,0,0,0.0,0,0
2,0,1,0,0,0,1,57,8,1,0,0,0,99.0,1,0
2,0,0,3,1,0,1,12,2,1,0,0,0,72.07,1,0
2,0,0,1,0,0,1,1,10,1,0,0,0,120.0,2,0
2,0,0,3,0,0,1,3,10,1,0,0,0,114.0,1,0
1,0,2,3,1,0,1,15,11,2,0,0,0,79.75,0,0
2,0,1,1,1,0,1,35,9,1,0,0,0,200.0,1,0
2,0,1,4,1,0,1,34,2,0,0,0,0,66.0,1,0
2,0,0,2,1,0,1,68,9,0,0,0,0,65.0,0,0
2,0,1,0,1,0,1,82,6,1,0,0,0,96.3,1,0
2,0,0,3,1,0,1,36,4,1,0,0,0,113.1,0,1
2,0,2,2,2,0,4,48,10,1,0,0,0,173.7,2,0
2,0,2,0,2,0,4,25,12,1,0,0,0,152.0,0,1
2,0,2,2,0,0,1,37,12,1,0,0,0,74.8,1,0
2,0,0,1,1,0,4,0,10,1,0,0,0,136.0,1,0
2,1,0,1,1,0,1,13,4,1,0,0,0,119.0,2,0
2,0,1,2,1,0,1,0,7,1,0,0,0,161.0,0,0
1,0,0,1,1,0,1,24,2,1,0,0,0,85.0,2,0
2,1,0,1,1,0,1,162,7,1,0,0,0,121.5,2,1
1,0,0,1,1,0,1,7,9,1,0,0,0,143.0,3,0
3,0,1,4,1,0,4,122,6,1,0,0,0,150.45,2,0
2,0,1,1,0,0,1,128,11,1,0,0,0,79.2,0,1
2,0,1,2,0,0,1,115,9,1,0,0,0,96.33,1,0
2,0,1,5,2,0,1,94,3,0,0,0,0,110.75,1,0
2,0,0,3,1,0,1,276,9,0,0,0,0,116.33,0,1
3,0,0,4,1,0,4,22,11,1,0,0,0,130.9,3,0
1,0,1,2,1,0,1,3,2,2,1,0,9,67.0,0,0
2,0,0,2,1,1,1,25,8,1,0,0,0,160.0,1,0
1,0,0,5,0,0,1,22,11,1,0,0,0,48.5,1,0
2,0,1,3,1,0,1,24,2,0,0,0,0,59.5,0,0
2,0,1,4,2,0,1,187,9,1,0,0,0,152.15,2,1
2,2,1,1,1,0,6,19,12,1,0,0,0,174.0,1,0
2,0,2,1,1,0,1,148,5,1,0,0,0,114.3,0,1
2,0,0,2,1,0,1,26,8,1,0,0,0,122.0,2,0
2,0,0,3,2,0,1,226,10,0,0,0,0,102.76,0,1
2,0,0,2,1,0,1,186,7,1,0,0,0,96.3,1,1
2,0,2,1,0,0,1,73,4,1,0,0,0,76.5,1,0
2,0,1,3,1,0,1,139,11,1,0,0,0,171.9,1,0
3,0,2,5,1,0,1,165,8,1,0,0,0,137.34,0,1
1,0,0,1,1,0,1,21,5,1,0,0,0,94.5,1,0
2,1,2,4,1,0,4,115,8,1,0,0,0,165.3,1,0
3,0,1,1,2,0,4,193,8,1,0,0,0,189.0,1,1
2,0,0,2,2,0,1,320,8,0,0,0,0,115.0,1,1
1,0,0,2,1,0,1,164,10,0,0,0,0,100.0,0,1
1,0,0,3,1,0,1,37,10,0,0,0,0,95.0,0,0
2,0,2,3,1,0,1,50,1,1,0,0,0,58.94,1,0
2,0,2,1,1,0,1,41,3,2,0,0,0,85.67,0,0
1,0,1,2,1,0,1,114,7,0,0,0,0,75.0,0,1
2,0,0,2,1,0,1,17,10,0,0,0,0,48.0,0,0
2,0,0,2,2,0,1,39,8,0,0,0,0,109.0,0,0
2,0,1,3,1,0,1,210,10,0,0,0,0,72.75,0,0
1,0,1,5,1,0,1,349,10,0,0,0,0,80.0,0,1
2,0,2,4,1,0,1,21,11,1,0,0,0,88.4,1,0
2,0,2,2,1,0,1,6,11,1,0,0,0,91.0,3,0
2,0,1,4,1,0,4,41,8,1,0,0,0,123.3,2,0
2,0,2,1,1,0,4,2,9,1,0,0,0,194.0,1,0
2,0,0,1,2,0,2,110,7,0,0,0,0,98.2,1,0
2,0,0,2,1,0,4,67,4,0,0,0,0,90.95,1,0
2,0,0,2,2,0,1,256,6,0,0,0,0,115.0,1,1
2,0,0,3,1,0,1,137,5,1,0,0,0,105.3,0,1
2,0,1,3,1,0,1,12,8,1,0,0,0,141.0,2,0
3,0,1,2,1,0,7,36,4,1,0,0,0,203.02,2,0
2,0,0,4,1,0,1,21,9,1,0,0,0,105.0,0,0
2,0,2,2,1,0,4,4,12,1,0,0,0,95.2,1,0
2,1,1,2,1,0,4,109,8,1,0,0,0,143.7,1,0
2,1,1,0,1,1,4,5,11,4,0,0,0,0.0,2,0
2,0,0,1,1,0,1,11,11,1,0,0,0,130.0,1,1
1,0,1,0,1,0,1,6,2,1,1,3,1,86.0,0,0
2,0,2,0,1,0,1,61,10,0,0,0,0,91.0,0,0
1,0,2,1,1,0,1,116,2,0,0,0,0,76.0,0,0
3,0,0,2,1,0,4,73,9,1,0,0,0,168.3,2,0
1,0,2,7,0,0,1,35,12,1,0,0,0,79.2,0,1
1,0,1,5,1,0,1,22,9,1,0,0,0,95.0,2,0
2,0,2,1,2,0,1,150,1,0,0,0,0,101.0,0,0
2,0,1,2,1,0,1,187,10,1,0,0,0,108.9,3,0
1,0,1,0,1,0,1,36,10,1,0,0,0,107.1,1,1
2,0,0,1,1,0,1,0,8,1,0,0,0,122.0,2,0
2,0,0,1,0,0,1,0,8,1,0,0,0,139.0,1,0
2,0,0,3,1,0,1,50,3,0,0,0,0,75.0,0,0
1,0,1,0,1,0,1,5,9,2,0,0,0,65.0,0,0
1,0,0,1,1,0,1,15,10,2,0,0,0,65.0,0,0
2,0,2,3,1,0,1,12,12,1,0,0,0,89.59,1,0
1,0,0,1,1,0,1,0,8,1,0,0,0,114.0,1,0
3,0,2,2,1,0,4,211,10,1,0,0,0,121.55,1,1
2,0,2,1,1,0,1,282,10,0,0,0,0,76.67,0,0
1,0,0,3,1,0,1,166,11,0,0,0,0,110.0,0,1
1,0,0,4,1,0,5,109,11,0,0,0,0,216.0,1,1
2,0,1,5,2,0,1,94,3,0,0,0,0,110.75,1,0
2,0,0,3,0,0,1,326,11,1,0,0,0,67.5,2,1
2,2,0,2,1,0,6,33,3,1,0,0,0,162.45,1,0
2,0,2,2,1,0,1,3,3,0,0,0,0,55.0,0,0
2,0,2,4,1,0,4,140,3,1,0,0,0,113.5,1,0
1,0,0,1,1,0,1,16,6,2,1,0,1,95.0,0,0
2,0,0,3,1,0,1,6,2,0,0,0,0,62.0,1,0
3,0,1,0,1,0,4,103,10,1,0,0,0,151.2,0,1
1,0,1,3,1,0,1,191,6,0,0,0,0,95.0,0,0
2,0,0,3,1,0,1,100,4,1,0,0,0,62.86,0,0
2,0,1,3,1,0,1,322,5,0,0,0,0,80.0,0,1
2,0,1,2,2,0,2,161,3,0,0,0,0,130.0,0,1
2,0,0,1,1,0,1,0,8,1,0,0,0,98.0,0,1
2,0,0,2,1,0,4,28,5,1,0,0,0,156.0,0,1
2,0,2,0,1,0,1,2,10,4,1,1,5,0.0,4,0
2,0,0,3,1,0,4,36,1,1,0,0,0,88.63,1,0
2,0,2,0,0,0,1,75,4,1,0,0,0,90.0,0,0
2,2,2,3,2,0,6,12,2,1,0,0,0,230.0,0,1
2,0,1,2,1,0,1,115,8,1,0,0,0,120.3,0,1
2,0,1,1,1,0,4,44,6,0,0,0,0,96.3,0,0
2,0,0,3,1,0,1,42,2,1,0,0,0,80.3,1,0
2,0,0,3,0,0,1,49,9,1,0,0,0,89.91,0,1
1,0,3,7,1,0,1,11,11,1,0,0,0,76.93,1,1
1,0,1,0,1,0,1,10,10,1,0,0,0,129.0,1,0
1,2,1,4,1,0,6,88,5,1,0,0,0,187.85,1,1
1,0,0,5,1,0,1,18,1,1,0,0,0,75.0,0,0
2,0,1,3,1,0,1,66,6,1,0,0,0,126.9,1,0
2,0,1,2,1,0,1,19,5,1,0,0,0,130.0,0,0
3,0,0,1,1,0,4,12,12,1,0,0,0,161.0,0,0
2,0,1,3,1,1,4,47,2,1,0,0,0,99.4,1,0
2,0,1,1,2,0,1,301,7,0,0,0,0,115.0,1,1
3,0,1,2,1,0,4,77,9,1,0,0,0,168.3,2,0
2,0,2,0,0,0,1,117,11,1,0,0,0,79.2,0,0
2,0,2,2,1,0,1,18,10,1,0,0,0,111.75,2,0
2,0,1,1,0,0,1,7,7,1,0,0,0,139.0,0,0
2,0,0,4,1,0,1,259,12,1,0,0,0,73.95,1,0
3,0,2,1,1,0,4,73,4,1,0,0,0,159.3,1,1
2,0,0,1,0,0,1,4,2,1,0,0,0,90.0,0,0
2,0,1,0,0,0,1,6,9,1,0,0,0,114.0,1,0
2,0,1,3,1,0,1,287,9,1,0,0,0,100.3,0,1
3,0,0,4,1,0,4,128,9,1,0,0,0,162.0,2,0
2,0,2,5,1,0,4,11,6,1,0,0,0,156.0,1,0
2,0,1,4,1,0,1,27,12,1,0,0,0,69.0,0,0
2,0,1,0,1,0,1,258,10,0,0,0,0,110.0,0,1
2,0,0,4,1,0,1,35,11,1,0,0,0,88.4,1,0
2,0,2,1,1,0,2,224,7,1,0,0,0,86.62,0,1
2,0,2,3,2,0,1,54,8,1,0,0,0,144.0,0,0
3,0,0,1,1,0,4,19,7,1,0,0,0,146.0,2,0
2,0,0,3,0,0,4,1,11,1,0,0,0,100.0,1,0
1,0,1,3,1,0,1,6,9,1,0,0,0,114.0,1,0
2,0,1,3,1,0,1,60,4,1,0,0,0,71.6,0,0
1,0,0,3,1,0,1,335,10,0,0,0,0,80.0,0,0
2,0,0,2,2,0,1,265,6,0,0,0,0,115.0,1,1
2,0,0,2,1,0,4,2,11,1,0,0,0,108.9,0,1
2,0,0,2,1,0,1,112,6,0,0,0,0,100.0,0,0
1,0,0,1,1,1,1,2,6,2,1,1,15,67.0,1,0
2,0,0,3,1,0,1,31,10,1,0,0,0,129.0,2,0
2,0,1,3,1,0,1,66,11,1,0,0,0,179.1,2,0
1,0,1,2,1,0,1,91,9,0,0,0,0,75.0,0,0
2,0,2,1,1,0,1,67,3,0,0,0,0,76.16,1,0
2,0,1,2,1,0,4,150,10,1,0,0,0,76.36,1,0
2,0,0,2,0,0,1,15,10,1,0,0,0,140.0,2,0
2,0,1,3,1,0,4,64,11,1,0,0,0,106.2,1,1
2,0,1,3,1,0,1,46,3,0,0,0,0,85.0,0,0
2,0,2,2,1,0,4,139,7,1,0,0,0,114.33,0,1
2,0,2,1,1,0,1,87,8,1,0,0,0,76.5,2,0
2,0,0,2,2,0,1,265,6,0,0,0,0,115.0,1,1
2,0,2,2,1,0,4,127,9,1,0,0,0,143.1,1,0
1,0,0,2,1,0,1,42,11,0,0,0,0,67.5,0,0
2,0,0,2,2,0,1,320,8,0,0,0,0,115.0,1,1
2,0,2,1,1,0,1,19,12,1,0,0,0,69.0,2,0
1,0,1,2,1,0,1,219,9,0,0,0,0,76.67,0,0
2,0,0,1,1,0,1,20,3,1,0,0,0,93.0,0,0
2,0,0,3,0,0,1,151,6,1,0,0,0,95.4,0,1
2,0,0,2,2,0,1,257,7,0,0,0,0,101.5,0,1
2,1,0,2,1,0,1,135,7,1,0,0,0,126.0,1,0
2,0,1,2,1,0,1,15,11,1,0,0,0,200.0,2,0
2,2,0,1,1,1,6,140,7,1,0,0,0,195.3,2,0
2,0,1,2,1,0,1,67,12,0,0,0,0,75.0,0,0
2,0,1,1,1,0,1,174,10,0,0,0,0,70.0,0,1
2,1,0,5,2,0,1,181,8,1,0,0,0,162.15,2,1
2,0,1,2,1,0,1,198,9,0,0,0,0,90.0,0,1
2,0,1,3,1,0,1,12,10,2,0,0,0,100.0,0,0
2,0,0,1,1,0,1,5,12,1,0,0,0,88.8,0,0
1,0,1,2,1,0,1,180,10,0,0,0,0,120.0,0,1
2,0,2,1,0,0,1,49,2,1,0,0,0,67.5,0,1
2,2,2,2,1,0,6,86,5,1,0,0,0,187.85,1,0
2,0,2,0,1,0,1,100,7,1,0,0,0,114.3,0,1
2,0,1,2,1,0,1,117,2,0,0,0,0,86.33,0,0
2,1,2,2,1,1,1,15,3,1,0,0,0,160.0,1,0
3,0,0,1,1,0,1,15,12,0,0,0,0,90.0,2,0
2,0,2,2,1,0,1,110,10,0,0,0,0,130.0,2,1
2,0,2,2,1,0,4,30,9,1,0,0,0,92.25,1,0
2,0,1,2,1,0,1,168,4,0,0,0,0,85.0,0,1
1,0,1,1,1,0,1,85,12,1,0,0,0,98.0,0,0
2,0,0,2,2,0,1,63,9,0,0,0,0,116.0,0,0
2,0,0,2,1,0,1,70,6,0,0,0,0,100.0,0,0
2,0,0,3,1,0,4,58,10,1,0,0,0,139.5,1,1
1,0,1,2,1,0,1,0,9,2,0,0,0,65.0,0,0
2,0,1,3,1,0,4,115,5,0,0,0,0,90.95,0,0
2,0,0,3,1,0,1,304,11,0,0,0,0,89.0,0,1
2,1,2,2,1,0,1,42,12,1,0,0,0,102.0,1,0
2,0,2,4,1,0,1,135,9,0,0,0,0,80.75,0,0
2,0,0,2,2,0,1,39,8,0,0,0,0,101.5,0,0
2,0,2,1,1,0,1,74,10,1,0,0,0,118.8,0,1
3,0,2,0,1,1,4,42,6,1,0,0,0,141.3,1,0
2,2,1,2,1,0,6,9,6,1,0,0,0,221.0,0,1
2,0,2,7,2,0,1,42,9,0,0,0,0,79.64,0,0
2,0,0,1,1,0,1,26,6,0,0,0,0,120.0,0,0
2,0,1,2,1,0,1,81,3,0,0,0,0,65.0,1,0
2,0,2,2,1,0,1,11,10,0,0,0,0,88.5,0,0
2,0,1,2,2,0,1,418,9,0,0,0,0,107.0,0,1
2,0,2,3,1,0,1,276,5,0,0,0,0,61.0,0,1
2,0,2,3,0,0,1,47,10,1,0,0,0,79.0,2,0
2,0,0,3,1,0,1,304,11,0,0,0,0,89.0,0,1
2,0,2,1,2,0,1,124,8,0,0,0,0,94.5,0,1
2,0,1,2,1,0,1,22,2,1,0,0,0,72.64,1,0
2,0,2,1,1,0,1,28,9,1,0,0,0,117.0,1,1
2,0,2,2,1,0,1,208,6,0,0,0,0,80.24,2,0
2,0,0,2,1,1,1,58,12,1,0,0,0,102.6,1,0
1,0,1,0,0,0,1,7,5,1,0,0,0,78.8,0,0
2,0,0,2,1,0,4,10,9,1,0,0,0,204.0,2,0
2,0,0,2,0,0,1,1,2,1,1,11,22,79.0,1,0
3,0,0,1,1,0,4,76,10,1,0,0,0,151.2,1,1
1,0,1,2,1,0,1,101,4,0,0,0,0,70.0,0,1
2,0,1,2,0,0,1,64,4,1,0,0,0,116.1,2,0
1,0,0,1,1,0,1,8,12,2,0,0,0,79.0,0,0
2,0,2,2,1,0,4,69,4,1,0,0,0,107.95,0,0
2,0,0,5,1,0,1,13,10,1,0,0,0,99.95,1,0
2,0,2,1,1,0,1,5,12,0,0,0,0,62.8,0,0
2,0,1,3,1,0,1,222,12,1,0,0,0,83.1,1,0
2,0,1,5,2,0,1,94,3,0,0,0,0,110.75,1,0
1,0,1,3,1,0,1,5,4,3,0,0,0,95.0,0,0
2,0,1,3,1,0,1,60,10,0,0,0,0,65.0,1,0
2,0,1,2,1,0,1,60,4,1,0,0,0,92.7,1,1
3,0,0,2,1,1,4,183,7,1,0,0,0,137.7,1,1
2,0,0,3,1,0,2,217,8,1,0,0,0,86.63,0,1
2,0,1,2,1,0,1,96,4,1,0,0,0,126.9,1,1
2,1,2,0,1,0,1,12,2,1,0,0,0,111.0,2,0
3,0,0,3,1,0,4,68,7,1,0,0,0,149.1,0,1
1,0,1,2,1,0,1,0,9,1,0,0,0,96.27,1,0
2,1,2,5,1,0,1,4,11,1,0,0,0,99.51,2,0
2,0,0,3,1,0,1,183,9,0,0,0,0,110.0,1,1
2,0,0,2,1,0,1,24,1,1,0,0,0,89.0,0,0
2,0,0,3,1,0,1,258,9,1,0,0,0,106.2,0,1
3,1,2,1,1,0,7,24,5,1,0,0,0,285.17,0,1
1,0,0,2,1,0,4,16,3,4,0,0,0,6.0,0,0
2,0,2,2,1,0,1,95,4,1,0,0,0,86.7,3,0
2,0,0,5,1,0,4,142,7,1,0,0,0,119.0,2,0
2,0,0,4,0,0,1,27,12,1,0,0,0,74.8,1,0
2,0,1,2,0,0,1,102,11,0,0,0,0,59.5,0,1
1,0,1,1,1,0,1,6,5,1,0,0,0,97.02,2,0
2,2,1,5,1,0,6,78,3,1,0,0,0,154.7,0,0
2,0,0,3,1,0,1,109,10,1,0,0,0,66.49,1,0
2,0,0,1,0,0,1,9,2,1,0,0,0,81.0,1,0
3,0,1,3,1,0,4,18,12,1,0,0,0,130.9,0,0
2,0,1,0,1,0,1,0,7,1,0,0,0,131.0,0,0
2,0,0,4,1,0,4,9,5,1,0,0,0,148.5,1,0
2,0,0,2,1,0,1,275,11,1,0,0,0,77.62,1,1
2,0,1,2,1,0,1,110,7,1,0,0,0,114.3,1,0
2,0,0,1,1,0,1,29,8,1,0,0,0,151.0,0,0
2,0,0,2,0,0,1,8,4,1,0,0,0,119.0,1,0
3,0,2,2,1,0,4,122,7,1,0,0,0,142.2,0,1
1,0,1,2,1,0,4,38,3,1,0,0,0,131.4,0,1
2,0,0,4,1,0,1,215,9,1,0,0,0,115.6,0,1
2,0,2,2,0,0,1,18,12,1,0,0,0,76.29,0,0
1,0,1,0,1,0,1,19,11,2,0,0,0,65.0,0,0
1,0,1,1,1,0,1,7,6,1,0,0,0,95.0,1,0
1,0,1,2,1,0,4,0,9,0,0,0,0,75.0,0,0
2,0,2,5,1,0,1,59,3,0,0,0,0,59.5,0,0
1,0,0,2,1,0,1,192,6,0,0,0,0,95.0,0,0
2,0,0,2,1,0,1,1,9,0,1,1,0,102.6,0,0
2,0,0,1,2,0,1,40,7,0,0,0,0,125.0,1,0
2,0,0,2,1,0,1,317,9,0,0,0,0,120.0,0,1
2,0,0,4,1,0,1,24,12,1,0,0,0,68.07,0,0
2,2,1,1,1,0,6,0,4,1,0,0,0,190.0,0,0
2,0,1,1,1,0,4,44,6,0,0,0,0,96.3,0,0
2,0,1,1,1,0,1,144,7,1,0,0,0,105.3,1,0
2,0,2,2,1,0,1,43,11,0,0,0,0,68.0,0,0
1,0,1,2,1,0,1,180,10,0,0,0,0,120.0,1,1
2,2,0,4,1,0,6,26,9,1,0,0,0,226.5,0,1
1,0,0,1,1,0,4,1,9,1,0,0,0,210.0,1,0
3,0,1,1,1,0,1,173,8,0,0,0,0,96.9,0,0
2,0,1,3,1,0,1,88,2,1,0,0,0,56.94,0,1
2,0,0,3,1,0,4,22,12,1,0,0,0,148.0,1,0
2,0,0,3,1,0,1,116,7,1,0,0,0,116.95,1,0
1,0,1,0,1,0,4,4,10,3,0,0,0,110.0,0,0
3,0,0,2,1,0,4,65,7,1,0,0,0,123.93,0,1
2,0,1,1,0,0,1,0,10,1,0,0,0,140.0,2,0
2,2,0,3,1,0,6,26,5,1,0,0,0,221.0,0,1
1,0,0,1,1,0,1,8,5,1,0,0,0,106.25,1,0
2,0,0,3,1,0,1,41,10,1,0,0,0,98.67,2,0
3,0,0,3,1,0,4,7,3,1,0,0,0,173.0,0,0
2,0,0,3,1,0,4,44,11,0,0,0,0,60.0,1,0
2,0,2,1,1,0,1,221,10,0,0,0,0,65.0,0,0
2,0,2,1,0,0,1,331,12,1,0,0,0,75.9,0,1
2,1,0,1,1,0,1,0,2,1,0,0,0,109.0,0,0
2,0,0,2,0,0,1,163,12,1,0,0,0,79.2,0,1
2,0,0,2,1,0,4,68,4,1,0,0,0,118.8,1,0
2,0,0,3,1,0,1,2,12,2,1,0,1,86.0,1,0
2,0,0,4,1,0,1,253,5,0,0,0,0,90.0,0,1
1,0,0,1,1,0,1,3,10,1,0,0,0,120.0,0,0
2,0,0,1,1,0,1,24,11,4,0,0,0,0.0,1,0
2,0,1,3,1,0,1,24,4,1,0,0,0,108.5,0,1
2,0,2,3,1,0,1,23,9,1,0,0,0,118.8,0,0
2,0,2,1,0,0,1,183,10,1,0,0,0,80.1,2,1
2,0,1,0,1,0,1,13,3,0,0,0,0,85.0,1,0
1,0,1,0,1,0,1,1,2,1,0,0,0,66.22,1,0
3,0,0,4,1,0,4,56,11,1,0,0,0,119.0,2,0
3,0,1,2,1,0,4,31,2,0,0,0,0,102.9,1,0
2,1,2,1,0,0,1,23,4,1,0,0,0,93.82,2,0
1,0,1,1,1,0,1,114,5,1,0,0,0,99.9,0,1
2,0,2,1,1,0,1,19,12,1,1,1,0,69.0,0,0
2,0,2,2,1,0,1,37,5,1,0,0,0,126.9,0,1
1,0,0,1,1,0,1,10,2,2,1,0,1,66.0,0,0
2,0,1,0,0,0,1,1,9,1,0,0,0,114.0,0,0
1,0,0,3,1,0,1,134,6,1,0,0,0,90.9,0,1
2,0,1,4,1,0,1,64,3,1,0,0,0,73.95,1,1
1,0,1,2,1,0,1,11,12,1,0,0,0,86.0,0,0
2,0,1,2,0,0,1,5,11,1,0,0,0,133.33,2,0
2,0,0,4,1,0,1,178,10,1,0,0,0,90.9,2,0
2,0,1,0,0,0,1,44,10,1,0,0,0,89.1,2,0
2,0,0,2,0,0,1,0,8,1,0,0,0,148.0,1,0
2,1,1,1,1,0,1,77,4,1,0,0,0,112.5,2,0
2,0,2,1,1,0,1,92,3,0,0,0,0,100.0,0,1
2,0,2,5,0,0,1,53,12,1,0,0,0,74.8,2,0
2,0,1,2,1,0,1,46,11,0,0,0,0,75.0,0,0
1,0,1,0,1,0,5,111,10,0,0,0,0,120.0,0,1
2,0,0,1,1,0,1,42,9,0,0,0,0,85.0,1,0
1,0,1,2,1,0,1,114,7,0,0,0,0,75.0,0,1
2,0,0,3,1,0,1,28,10,0,0,0,0,85.0,0,0
2,0,0,4,1,0,1,22,10,1,0,0,0,115.0,2,0
3,0,0,1,1,0,4,51,7,1,0,0,0,137.7,1,0
2,0,0,3,2,0,1,34,9,0,0,0,0,224.67,0,1
2,0,1,3,0,0,1,94,11,1,0,0,0,79.2,1,0
2,0,2,1,1,0,1,40,8,1,0,0,0,112.5,1,0
2,0,1,5,0,0,1,85,3,1,0,0,0,72.25,1,0
2,2,1,2,0,1,6,4,8,1,0,0,0,162.0,3,0
3,0,0,3,1,0,7,46,9,1,0,0,0,243.9,1,1
2,0,2,1,1,0,1,24,12,2,0,0,0,50.0,0,0
1,0,1,1,0,0,1,7,10,1,0,0,0,114.0,1,0
2,0,0,2,2,0,1,74,9,0,0,0,0,109.0,0,0
2,0,2,2,1,0,1,2,5,0,0,0,0,81.75,0,0
3,0,0,1,1,0,4,36,7,1,0,0,0,168.3,1,0
1,0,0,2,1,0,1,8,3,0,0,0,0,56.0,0,0
2,0,0,3,1,0,1,304,11,0,0,0,0,89.0,0,1
1,0,2,2,1,0,1,5,9,1,0,0,0,206.0,1,0
2,0,1,1,1,0,1,78,7,1,0,0,0,105.3,0,1
2,0,0,2,1,0,1,6,12,0,0,0,0,55.0,0,0
2,1,0,1,1,0,1,45,2,1,0,0,0,86.55,1,0
0,2,1,2,1,0,2,17,9,1,0,0,0,109.45,2,0
2,0,2,3,1,0,1,151,8,1,0,0,0,97.75,1,0
2,0,2,4,1,0,1,13,12,1,0,0,0,89.39,0,0
2,0,0,3,1,0,2,56,12,1,0,0,0,82.44,1,0
1,0,2,4,1,0,1,69,6,0,0,0,0,120.0,0,1
3,0,0,1,1,0,4,60,6,1,0,0,0,132.3,0,1
2,0,0,3,1,0,4,148,6,0,0,0,0,88.12,0,0
2,1,1,4,1,0,1,41,3,0,0,0,0,98.55,1,0
0,2,0,3,1,0,2,113,3,1,0,0,0,78.0,1,0
1,0,0,3,1,0,1,151,1,0,0,0,0,80.0,0,0
1,0,0,1,1,0,1,4,11,2,0,0,0,79.0,1,0
2,0,0,3,1,0,1,279,10,0,0,0,0,110.0,0,1
1,0,0,3,1,0,1,7,5,0,0,0,0,112.0,0,0
1,0,0,4,1,0,1,69,7,1,0,0,0,68.0,1,1
2,0,0,4,1,0,1,115,5,1,0,0,0,109.65,0,1
2,1,0,3,1,0,1,50,12,0,0,0,0,71.33,0,0
2,1,1,0,1,0,1,11,4,1,0,0,0,119.0,1,0
2,0,0,3,1,0,2,230,7,1,0,0,0,95.75,1,1
2,0,2,1,1,0,1,66,9,0,0,0,0,80.75,0,0
3,0,1,2,1,0,1,186,4,0,0,0,0,115.0,0,1
2,1,2,2,1,1,1,186,8,1,0,0,0,106.25,1,1
2,0,1,3,1,0,4,52,3,1,0,0,0,99.88,1,0
1,0,0,1,1,0,1,1,10,0,0,0,0,85.0,0,0
1,0,2,0,1,0,1,61,10,1,0,0,0,0.0,0,0
2,0,0,3,1,0,1,52,3,1,0,0,0,78.3,0,1
2,0,1,2,1,1,4,70,9,1,0,0,0,158.4,1,0
3,0,1,2,1,0,1,1,3,1,0,0,0,137.0,2,0
1,0,2,5,0,0,1,11,10,1,0,0,0,116.71,3,0
2,0,0,1,0,0,1,15,6,1,0,0,0,89.0,1,1
2,1,2,2,1,0,1,71,6,0,0,0,0,93.08,1,0
3,0,1,2,1,1,4,46,4,1,0,0,0,159.3,2,0
2,0,0,1,0,0,1,1,8,1,0,0,0,184.5,2,0
2,1,0,1,1,0,1,5,2,1,0,0,0,93.0,0,0
2,0,1,3,1,0,1,37,1,1,0,0,0,58.37,1,0
2,0,0,2,1,0,1,29,10,1,0,0,0,152.0,2,0
1,0,0,3,0,0,1,0,3,1,0,0,0,111.33,1,0
2,0,1,0,1,0,1,38,8,1,0,0,0,135.9,0,1
2,0,0,3,0,0,1,160,7,1,0,0,0,94.5,0,1
2,0,0,2,2,0,1,265,6,0,0,0,0,115.0,1,1
2,0,0,1,0,0,1,98,6,1,0,0,0,85.5,1,1
2,0,0,3,1,0,4,11,6,1,0,0,0,152.67,1,0
2,0,0,1,0,0,1,184,10,1,0,0,0,98.1,0,1
2,0,0,1,0,0,1,2,5,1,0,0,0,149.0,1,0
1,0,1,1,1,0,1,4,9,0,0,0,0,98.1,0,1
1,0,1,2,1,0,1,0,9,1,0,0,0,148.67,0,0
2,0,1,1,1,0,1,168,8,1,0,0,0,105.3,0,1
1,0,0,1,1,0,1,7,10,2,1,1,0,65.0,0,0
1,0,0,1,1,0,1,4,2,2,0,0,0,81.0,0,0
2,1,2,1,2,0,1,35,8,1,0,0,0,171.45,0,1
2,1,1,2,1,0,4,187,7,1,0,0,0,122.8,2,1
2,0,0,1,0,0,1,32,10,1,0,0,0,109.0,2,0
1,0,0,1,1,0,1,1,8,2,0,0,0,65.0,1,0
2,0,1,3,0,0,1,49,10,1,0,0,0,108.0,0,1
2,0,1,1,1,0,4,24,3,1,0,0,0,71.46,1,0
2,0,2,2,1,0,7,17,9,1,0,0,0,238.15,2,0
2,0,0,3,1,0,1,59,11,1,0,0,0,71.1,2,0
